DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,DrawNumber
15-Aug-2020,16,10,22,14,25,34,21,1,Merlin,2572
12-Aug-2020,6,37,27,8,31,51,20,1,Merlin,2571
08-Aug-2020,58,49,40,56,53,2,41,11,Merlin,2570
05-Aug-2020,28,42,51,58,1,43,36,11,Merlin,2569
01-Aug-2020,53,13,24,10,56,4,22,10,Arthur,2568
29-Jul-2020,1,39,24,49,52,46,51,10,Arthur,2567
25-Jul-2020,14,18,10,13,34,33,15,9,Arthur,2566
22-Jul-2020,7,45,23,37,2,11,19,9,Arthur,2565
18-Jul-2020,20,1,32,42,33,24,30,11,Merlin,2564
15-Jul-2020,37,44,9,29,53,27,49,11,Merlin,2563
11-Jul-2020,9,17,14,32,58,10,22,10,Merlin,2562
08-Jul-2020,59,31,5,22,18,50,30,10,Merlin,2561
04-Jul-2020,48,52,34,57,32,33,13,9,Arthur,2560
01-Jul-2020,55,24,29,8,27,1,4,9,Arthur,2559
27-Jun-2020,15,2,37,43,33,19,12,11,Arthur,2558
24-Jun-2020,57,1,8,50,33,52,41,11,Arthur,2557
20-Jun-2020,48,30,26,40,7,21,13,10,Merlin,2556
17-Jun-2020,54,48,33,9,39,2,43,10,Merlin,2555
13-Jun-2020,51,19,35,21,12,10,42,9,Merlin,2554
10-Jun-2020,51,55,57,50,20,26,40,9,Merlin,2553
06-Jun-2020,12,40,17,35,6,3,33,8,Guinevere,2552
03-Jun-2020,2,5,11,14,33,1,48,8,Guinevere,2551
30-May-2020,6,8,32,2,33,35,45,7,Guinevere,2550
27-May-2020,7,23,4,34,19,38,46,7,Guinevere,2549
23-May-2020,59,42,45,37,38,15,54,6,Lancelot,2548
20-May-2020,26,24,37,40,57,7,44,6,Lancelot,2547
16-May-2020,44,48,20,52,21,4,34,5,Lancelot,2546
13-May-2020,31,14,47,38,16,19,20,5,Lancelot,2545
09-May-2020,18,7,21,42,50,26,59,8,Guinevere,2544
06-May-2020,49,51,29,32,48,23,13,8,Guinevere,2543
02-May-2020,39,18,14,44,23,52,47,7,Guinevere,2542
29-Apr-2020,40,36,16,17,32,47,4,7,Guinevere,2541
25-Apr-2020,21,9,25,3,28,59,36,6,Lancelot,2540
22-Apr-2020,50,8,3,47,18,59,12,6,Lancelot,2539
18-Apr-2020,6,43,46,3,31,53,26,5,Lancelot,2538
15-Apr-2020,38,57,54,43,25,37,17,5,Lancelot,2537
11-Apr-2020,44,20,55,31,28,30,50,4,Guinevere,2536
08-Apr-2020,41,4,1,20,19,45,7,4,Guinevere,2535
04-Apr-2020,22,39,45,49,28,4,25,3,Guinevere,2534
01-Apr-2020,17,16,4,52,27,22,30,3,Guinevere,2533
28-Mar-2020,8,49,14,46,27,33,11,2,Lancelot,2532
25-Mar-2020,11,25,39,24,57,53,9,2,Lancelot,2531
21-Mar-2020,34,58,26,56,12,29,41,1,Lancelot,2530
18-Mar-2020,27,11,19,3,7,52,5,1,Lancelot,2529
14-Mar-2020,38,7,47,30,42,22,14,4,Guinevere,2528
11-Mar-2020,45,46,52,39,10,54,12,4,Guinevere,2527
07-Mar-2020,35,5,29,44,36,40,42,3,Guinevere,2526
04-Mar-2020,56,4,7,19,50,14,8,3,Guinevere,2525
29-Feb-2020,25,34,58,32,55,52,9,2,Lancelot,2524
26-Feb-2020,27,19,57,20,52,49,4,2,Lancelot,2523
22-Feb-2020,27,21,36,47,23,25,17,1,Lancelot,2522
19-Feb-2020,7,27,18,48,28,21,10,1,Lancelot,2521
